Route,Year,Month,Revenue_Passengers,Aircraft_Trips,Rev Pax,Distance,RPKs,ASKs,Seats,
ADL-CBR,2020,2,"14,618",138,63.8,972,"14,208,696","22,286,016","22,928",
ADL-CBR,2020,3,"10,147",123,49.9,972,"9,862,884","19,757,844","20,327",
ADL-CBR,2020,10,"9,597",96,64.1,972,"9,328,284","14,559,588","14,979",
ADL-CBR,2020,12,"9,412",98,61.3,972,"9,148,464","14,933,808","15,364",
ADL-CBR,2021,1,"9,483",120,48.9,972,"9,217,476","18,868,464","19,412",
ADL-CBR,2021,2,"9,294",90,64.3,972,"9,033,768","14,055,120","14,460",
ADL-CBR,2021,3,"12,123",112,65.4,972,"11,783,556","18,028,656","18,548",
ADL-CBR,2021,4,"12,880",98,75.4,972,"12,519,360","16,601,760","17,080",
ADL-CBR,2021,5,"14,484",131,63.5,972,"14,078,448","22,175,208","22,814",
ADL-CBR,2021,6,"13,298",124,61.5,972,"12,925,656","21,004,920","21,610",
ADL-CBR,2021,12,"8,818",109,46.4,972,"8,571,096","18,461,196","18,993",
ADL-CBR,2022,3,"11,663",153,67.3,972,"11,336,436","16,835,040","17,320",
ADL-CBR,2022,4,"12,715",148,77.9,972,"12,358,980","15,869,844","16,327",
ADL-CBR,2022,5,"13,295",168,69.4,972,"12,922,740","18,608,940","19,145",
ADL-CBR,2022,6,"12,299",153,72.6,972,"11,954,628","16,469,568","16,944",
ADL-CBR,2022,7,"13,271",156,78.7,972,"12,899,412","16,393,752","16,866",
ADL-CBR,2022,8,"13,532",174,70.3,972,"13,153,104","18,699,336","19,238",
ADL-CBR,2022,9,"15,461",172,80.9,972,"15,028,092","18,581,724","19,117",
ADL-CBR,2022,10,"16,015",174,82.2,972,"15,566,580","18,929,700","19,475",
ADL-CBR,2022,11,"16,853",195,74.9,972,"16,381,116","21,884,580","22,515",
ADL-CBR,2022,12,"15,862",206,67.5,972,"15,417,864","22,857,552","23,516",
ADL-CBR,2023,1,"10,187",151,58.2,972,"9,901,764","17,009,028","17,499",
ADL-CBR,2023,2,"13,996",231,54,972,"13,604,112","25,170,912","25,896",
ADL-CBR,2023,3,"17,983",254,62.5,972,"17,479,476","27,952,776","28,758",
ADL-CBR,2023,4,"16,724",264,57.7,972,"16,255,728","28,150,092","28,961",
ADL-CBR,2023,5,"17,762",275,57.8,972,"17,264,664","29,876,364","30,737",
ADL-CBR,2023,6,"16,186",260,57.4,972,"15,732,792","27,407,484","28,197",
ADL-CBR,2023,7,"16,133",254,60.2,972,"15,681,276","26,055,432","26,806",
ADL-CBR,2023,8,"16,729",260,60.1,972,"16,260,588","27,040,068","27,819",
ADL-CBR,2023,9,"17,351",237,67.9,972,"16,865,172","24,845,292","25,561",
ADL-CBR,2023,10,"18,241",250,66.6,972,"17,730,252","26,620,164","27,387",
ADL-CBR,2023,11,"17,579",222,75.7,972,"17,086,788","22,565,952","23,216",
ADL-CBR,2023,12,"14,539",191,70.5,972,"14,131,908","20,043,612","20,621",
ADL-CBR,2024,1,"11,157",151,68,972,"10,844,604","15,959,268","16,419",
ADL-CBR,2024,2,"14,880",198,69.2,972,"14,463,360","20,912,580","21,515",
ADL-CBR,2024,3,"16,054",206,72.1,972,"15,604,488","21,643,524","22,267",
ADL-CBR,2024,4,"15,238",193,72.7,972,"14,811,336","20,377,980","20,965",
ADL-CBR,2024,5,"15,190",206,66.9,972,"14,764,680","22,058,568","22,694",
ADL-CBR,2024,6,"14,268",188,69.2,972,"13,868,496","20,036,808","20,614",
ADL-CBR,2024,7,"14,682",199,67.6,972,"14,270,904","21,111,840","21,720",
ADL-CBR,2024,8,"15,281",209,67.6,972,"14,853,132","21,985,668","22,619",
ADL-CBR,2024,9,"16,508",222,68.7,972,"16,045,776","23,372,712","24,046",
ADL-CBR,2024,10,"17,874",219,75.7,972,"17,373,528","22,948,920","23,610",
ADL-CBR,2024,11,"19,106",216,81.1,972,"18,571,032","22,899,348","23,559",
ADL-CBR,2024,12,"15,906",191,75.2,972,"15,460,632","20,568,492","21,161",
ADL-CBR,2025,1,"12,432",164,66.5,972,"12,083,904","18,179,316","18,703",
ADL-CBR,2025,2,"15,550",200,71.6,972,"15,114,600","21,121,560","21,730",
ADL-CBR,2025,3,"17,504",222,73.4,972,"17,013,888","23,180,256","23,848",
ADL-CBR,2025,4,"15,561",204,71.7,972,"15,125,292","21,106,008","21,714",
ADL-CBR,2025,5,"16,162",215,69.4,972,"15,709,464","22,638,852","23,291",
ADL-CBR,2025,6,"16,417",211,71.7,972,"15,957,324","22,253,940","22,895",
ADL-CBR,2025,7,"15,826",210,69.2,972,"15,382,872","22,229,640","22,870",
ADL-CBR,2025,8,"16,317",224,67.8,972,"15,860,124","23,386,320","24,060",
ADL-CBR,2025,9,"16,982",223,71.3,972,"16,506,504","23,137,488","23,804",
ADL-CBR,2025,10,"18,463",227,75.8,972,"17,946,036","23,669,172","24,351",
ADL-CBR,2025,11,"19,527",251,75.1,972,"18,980,244","25,284,636","26,013",
ADL-CBR,2025,12,"15,813",215,71.3,972,"15,370,236","21,564,792","22,186",
ADL-CBR,2021,9,"11,417",102,63.8,"2,131","24,329,627","38,127,852","17,892",
ADL-CNS,2021,10,"16,045",128,79.5,"2,131","34,191,895","43,033,414","20,194",
ADL-CNS,2021,11,"13,504",136,61.2,"2,131","28,777,024","47,026,908","22,068",
ADL-CNS,2021,12,"8,652",130,41.5,"2,131","18,437,412","44,422,826","20,846",
ADL-CNS,2022,7,"16,682",100,92.2,"2,131","35,549,342","38,564,707","18,097",
ADL-CNS,2022,8,"14,279",84,93.9,"2,131","30,428,549","32,391,200","15,200",
ADL-CNS,2022,9,"14,215",88,89.4,"2,131","30,292,165","33,891,424","15,904",
ADL-CNS,2022,10,"15,252",94,89.7,"2,131","32,502,012","36,244,048","17,008",
ADL-CNS,2022,11,"11,348",72,88,"2,131","24,182,588","27,472,852","12,892",
ADL-CNS,2022,12,"12,761",92,76.8,"2,131","27,193,691","35,391,648","16,608",
ADL-CNS,2023,1,"13,715",102,74.3,"2,131","29,226,665","39,325,474","18,454",
ADL-CNS,2023,2,"8,736",70,69.4,"2,131","18,616,416","26,816,504","12,584",
ADL-CNS,2023,3,"10,846",82,73.2,"2,131","23,112,826","31,589,944","14,824",
ADL-CNS,2023,4,"13,051",110,73.2,"2,131","27,811,681","37,970,158","17,818",
ADL-CNS,2023,5,"13,082",88,82.1,"2,131","27,877,742","33,942,568","15,928",
ADL-CNS,2023,6,"13,490",80,92.4,"2,131","28,747,190","31,104,076","14,596",
ADL-CNS,2023,7,"17,305",116,88.3,"2,131","36,876,955","41,750,552","19,592",
ADL-CNS,2023,8,"15,325",90,93.9,"2,131","32,657,575","34,769,396","16,316",
ADL-CNS,2023,9,"13,788",90,85.9,"2,131","29,382,228","34,191,895","16,045",
ADL-CNS,2023,10,"15,716",114,81.5,"2,131","33,490,796","41,068,632","19,272",
ADL-CNS,2021,9,"19,006",158,67.3,"2,619","49,776,714","73,981,512","28,248",
ADL-DRW,2021,10,"21,201",171,69.3,"2,619","55,525,419","80,172,828","30,612",
ADL-DRW,2023,1,"16,295",207,58.3,"2,619","42,676,605","73,190,574","27,946",
ADL-DRW,2023,2,"12,078",168,56.1,"2,619","31,632,282","56,434,212","21,548",
ADL-DRW,2023,3,"16,046",188,66.1,"2,619","42,024,474","63,623,367","24,293",
ADL-DRW,2023,4,"18,883",196,72.1,"2,619","49,454,577","68,615,181","26,199",
ADL-DRW,2023,5,"20,498",193,80.8,"2,619","53,684,262","66,417,840","25,360",
ADL-DRW,2023,6,"21,822",195,86.4,"2,619","57,151,818","66,121,893","25,247",
ADL-DRW,2023,7,"24,660",213,88.1,"2,619","64,584,540","73,279,620","27,980",
ADL-DRW,2023,8,"22,281",203,85.1,"2,619","58,353,939","68,594,229","26,191",
ADL-DRW,2023,9,"19,308",193,76.9,"2,619","50,567,652","65,723,805","25,095",
ADL-DRW,2023,10,"17,072",179,75.6,"2,619","44,711,568","59,134,401","22,579",
ADL-DRW,2021,11,"15,817",183,59.2,"1,172","18,537,524","31,314,668","26,719",
ADL-HBA,2021,12,"12,924",192,45.3,"1,172","15,146,928","33,466,460","28,555",
ADL-HBA,2022,4,"14,576",142,67.3,"1,172","17,083,072","25,394,896","21,668",
ADL-HBA,2022,5,"10,630",105,67.2,"1,172","12,458,360","18,550,416","15,828",
ADL-HBA,2022,6,"8,674",88,66.1,"1,172","10,165,928","15,376,640","13,120",
ADL-HBA,2022,7,"11,155",90,82.1,"1,172","13,073,660","15,920,448","13,584",
ADL-HBA,2022,8,"4,938",32,84.9,"1,172","5,787,336","6,816,352","5,816",
ADL-HBA,2014,7,"196,327","1,646",77.9,643,"126,238,261","162,038,572","252,004",
