Route,Departing Port,Arriving Port,Airline,Month,Sectors Scheduled,Sectors Flown,Cancellations,Departures On Time,Arrivals On Time,Departures Delayed,Arrivals Delayed,"OnTime Departures 
(%)","OnTime Arrivals 
(%)","Cancellations 

(%)",,,,,,
Adelaide-Alice Springs,Adelaide,Alice Springs,All Airlines,2024-25,661,658,3,533,536,125,122,81.0,81.5,0.5,,,,,,
Adelaide-Alice Springs,Adelaide,Alice Springs,QantasLink,2024-25,504,501,3,422,416,79,85,84.2,83.0,0.6,,,,,,
Adelaide-Alice Springs,Adelaide,Alice Springs,Virgin Australia,2024-25,157,157,0,111,120,46,37,70.7,76.4,0.0,,,,,,
Adelaide-Brisbane,Adelaide,Brisbane,All Airlines,2024-25,3876,3806,70,2981,3019,825,787,78.3,79.3,1.8,,,,,,
Adelaide-Brisbane,Adelaide,Brisbane,Jetstar,2024-25,443,439,4,330,333,109,106,75.2,75.9,0.9,,,,,,
Adelaide-Brisbane,Adelaide,Brisbane,QantasLink,2024-25,1875,1842,33,1436,1433,406,409,78.0,77.8,1.8,,,,,,
Adelaide-Brisbane,Adelaide,Brisbane,Rex Airlines,2024-25,35,29,6,27,28,2,1,93.1,96.6,17.1,,,,,,
Adelaide-Brisbane,Adelaide,Brisbane,Virgin Australia,2024-25,1523,1496,27,1188,1225,308,271,79.4,81.9,1.8,,,,,,
Adelaide-Canberra,Adelaide,Canberra,All Airlines,2024-25,1251,1238,13,1026,1014,212,224,82.9,81.9,1.0,,,,,,
Adelaide-Canberra,Adelaide,Canberra,QantasLink,2024-25,1041,1032,9,885,869,147,163,85.8,84.2,0.9,,,,,,
Adelaide-Canberra,Adelaide,Canberra,Virgin Australia,2024-25,210,206,4,141,145,65,61,68.4,70.4,1.9,,,,,,
Adelaide-Gold Coast,Adelaide,Gold Coast,All Airlines,2024-25,798,789,9,679,671,110,118,86.1,85.0,1.1,,,,,,
Adelaide-Gold Coast,Adelaide,Gold Coast,Jetstar,2024-25,366,362,4,319,304,43,58,88.1,84.0,1.1,,,,,,
Adelaide-Gold Coast,Adelaide,Gold Coast,QantasLink,2024-25,33,33,0,26,27,7,6,78.8,81.8,0.0,,,,,,
Adelaide-Gold Coast,Adelaide,Gold Coast,Virgin Australia,2024-25,399,394,5,334,340,60,54,84.8,86.3,1.3,,,,,,
Adelaide-Melbourne,Adelaide,Melbourne,All Airlines,2024-25,7798,7703,95,5873,6014,1830,1689,76.2,78.1,1.2,,,,,,
Adelaide-Melbourne,Adelaide,Melbourne,Jetstar,2024-25,1514,1499,15,1097,1142,402,357,73.2,76.2,1.0,,,,,,
Adelaide-Melbourne,Adelaide,Melbourne,Qantas,2024-25,2966,2928,38,2254,2329,674,599,77.0,79.5,1.3,,,,,,
Adelaide-Melbourne,Adelaide,Melbourne,QantasLink,2024-25,141,131,10,111,105,20,26,84.7,80.2,7.1,,,,,,
Adelaide-Melbourne,Adelaide,Melbourne,Rex Airlines,2024-25,72,60,12,51,46,9,14,85.0,76.7,16.7,,,,,,
Adelaide-Melbourne,Adelaide,Melbourne,Virgin Australia,2024-25,3105,3085,20,2360,2392,725,693,76.5,77.5,0.6,,,,,,
Adelaide-Perth,Adelaide,Perth,All Airlines,2024-25,2339,2321,18,1627,1671,694,650,70.1,72.0,0.8,,,,,,
Adelaide-Perth,Adelaide,Perth,Jetstar,2024-25,316,314,2,192,206,122,108,61.1,65.6,0.6,,,,,,
Adelaide-Perth,Adelaide,Perth,Qantas,2024-25,1100,1095,5,918,910,177,185,83.8,83.1,0.5,,,,,,
Adelaide-Perth,Adelaide,Perth,Rex Airlines,2024-25,19,14,5,8,7,6,7,57.1,50.0,26.3,,,,,,
Adelaide-Perth,Adelaide,Perth,Virgin Australia,2024-25,701,697,4,439,462,258,235,63.0,66.3,0.6,,,,,,
Adelaide-Perth,Adelaide,Perth,Virgin Australia Regional Airlines,2024-25,203,201,2,70,86,131,115,34.8,42.8,1.0,,,,,,
Adelaide-Port Lincoln,Adelaide,Port Lincoln,All Airlines,2024-25,3171,3057,114,2562,2515,495,542,83.8,82.3,3.6,,,,,,
Adelaide-Port Lincoln,Adelaide,Port Lincoln,QantasLink,2024-25,1365,1329,36,1193,1192,136,137,89.8,89.7,2.6,,,,,,
Adelaide-Port Lincoln,Adelaide,Port Lincoln,Rex Airlines,2024-25,1806,1728,78,1369,1323,359,405,79.2,76.6,4.3,,,,,,
Adelaide-Sydney,Adelaide,Sydney,All Airlines,2024-25,6546,6356,190,4866,4741,1490,1615,76.6,74.6,2.9,,,,,,
Adelaide-Sydney,Adelaide,Sydney,Jetstar,2024-25,1583,1515,68,1148,1129,367,386,75.8,74.5,4.3,,,,,,
Adelaide-Sydney,Adelaide,Sydney,Qantas,2024-25,2876,2778,98,2152,2113,626,665,77.5,76.1,3.4,,,,,,
Adelaide-Sydney,Adelaide,Sydney,Rex Airlines,2024-25,36,30,6,24,23,6,7,80.0,76.7,16.7,,,,,,
Adelaide-Sydney,Adelaide,Sydney,Virgin Australia,2024-25,2051,2033,18,1542,1476,491,557,75.8,72.6,0.9,,,,,,
Albury-Sydney,Albury,Sydney,All Airlines,2024-25,2004,1972,32,1530,1490,442,482,77.6,75.6,1.6,,,,,,
Albury-Sydney,Albury,Sydney,QantasLink,2024-25,1137,1112,25,803,813,309,299,72.2,73.1,2.2,,,,,,
Albury-Sydney,Albury,Sydney,Rex Airlines,2024-25,867,860,7,727,677,133,183,84.5,78.7,0.8,,,,,,
Alice Springs-Adelaide,Alice Springs,Adelaide,All Airlines,2024-25,660,654,6,493,500,161,154,75.4,76.5,0.9,,,,,,
Alice Springs-Adelaide,Alice Springs,Adelaide,QantasLink,2024-25,503,498,5,420,422,78,76,84.3,84.7,1.0,,,,,,
Alice Springs-Adelaide,Alice Springs,Adelaide,Virgin Australia,2024-25,157,156,1,73,78,83,78,46.8,50.0,0.6,,,,,,
All Ports-All Ports,All Ports,All Ports,All Airlines,2024-25,549086,535201,13885,411200,408570,124001,126631,76.8,76.3,2.5,,,,,,
All Ports-All Ports,All Ports,All Ports,Hinterland,2024-25,16363,16166,197,14904,14272,1262,1894,92.2,88.3,1.2,,,,,,
All Ports-All Ports,All Ports,All Ports,Jetstar,2024-25,92974,91147,1827,66292,68155,24855,22992,72.7,74.8,2.0,,,,,,
All Ports-All Ports,All Ports,All Ports,Qantas,2024-25,91258,88630,2628,67209,66502,21421,22128,75.8,75.0,2.9,,,,,,
All Ports-All Ports,All Ports,All Ports,QantasLink,2024-25,139334,134573,4761,104876,104543,29697,30030,77.9,77.7,3.4,,,,,,
All Ports-All Ports,All Ports,All Ports,Rex Airlines,2024-25,54429,52989,1440,40852,39230,12137,13759,77.1,74.0,2.6,,,,,,
All Ports-All Ports,All Ports,All Ports,SmartLynx Australia,2024-25,10423,9665,758,8442,8429,1223,1236,87.3,87.2,7.3,,,,,,
All Ports-All Ports,All Ports,All Ports,Virgin Australia,2024-25,141014,138792,2222,106535,105209,32257,33583,76.8,75.8,1.6,,,,,,
All Ports-All Ports,All Ports,All Ports,Virgin Australia Regional Airlines,2024-25,3291,3239,52,2090,2230,1149,1009,64.5,68.8,1.6,,,,,,
Ayers Rock-Melbourne,Ayers Rock,Melbourne,All Airlines,2024-25,149,148,1,127,138,21,10,85.8,93.2,0.7,,,,,,
