Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real
2010,2,201002,Broome,Perth,Broome - Perth,278,424.0084034
2010,2,201002,Bundaberg,Brisbane,Bundaberg - Brisbane,274,417.907563
2010,2,201002,Cairns,Melbourne,Cairns - Melbourne,378,576.5294118
2010,2,201002,Cairns,Sydney,Cairns - Sydney,358,546.0252101
2010,2,201002,Cairns,Townsville,Cairns - Townsville,118,179.9747899
2010,2,201002,Canberra,Melbourne,Canberra - Melbourne,76,115.9159664
2010,2,201002,Canberra,Sydney,Canberra - Sydney,128,195.2268908
2010,2,201002,Coffs Harbour,Sydney,Coffs Harbour - Sydney,219,334.0210084
2010,2,201002,Darwin,Melbourne,Darwin - Melbourne,318,485.0168067
2010,2,201002,Darwin,Perth,Darwin - Perth,398,607.0336134
2010,2,201002,Darwin,Sydney,Darwin - Sydney,438,668.0420168
2010,2,201002,Devonport,Melbourne,Devonport - Melbourne,270,411.8067227
2010,2,201002,Dubbo,Sydney,Dubbo - Sydney,248,378.2521008
2010,2,201002,Geraldton,Perth,Geraldton - Perth,363,553.6512605
2010,2,201002,Gold Coast,Sydney,Gold Coast - Sydney,76,115.9159664
2010,2,201002,Hamilton Island,Sydney,Hamilton Island - Sydney,268,408.7563025
2010,2,201002,Hervey Bay,Sydney,Hervey Bay - Sydney,380,579.5798319
2010,2,201002,Hobart,Melbourne,Hobart - Melbourne,66,100.6638655
2010,2,201002,Hobart,Sydney,Hobart - Sydney,208,317.2436975
2010,2,201002,Kalgoorlie,Perth,Kalgoorlie - Perth,355,541.4495798
2010,2,201002,Karratha,Perth,Karratha - Perth,368,561.2773109
2010,2,201002,Launceston,Melbourne,Launceston - Melbourne,103,157.0966387
2010,2,201002,Launceston,Sydney,Launceston - Sydney,209.9,320.1415966
2010,2,201002,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,196,298.9411765
2010,2,201002,Sunshine Coast,Sydney,Sunshine Coast - Sydney,258,393.5042017
2010,2,201002,Melbourne,Gold Coast,Melbourne - Gold Coast,136,207.4285714
2010,2,201002,Melbourne,Mildura,Melbourne - Mildura,150,228.7815126
2010,2,201002,Melbourne,Perth,Melbourne - Perth,358,546.0252101
2010,2,201002,Melbourne,Sydney,Melbourne - Sydney,66,100.6638655
2010,2,201002,Melbourne,Newcastle,Melbourne - Newcastle,150,228.7815126
2010,2,201002,Paraburdoo,Perth,Paraburdoo - Perth,429,654.3151261
2010,2,201002,Perth,Newman,Perth - Newman,358,546.0252101
2010,2,201002,Perth,Port Hedland,Perth - Port Hedland,328,500.2689076
2010,2,201002,Perth,Sydney,Perth - Sydney,434,661.9411765
2010,2,201002,Port Macquarie,Sydney,Port Macquarie - Sydney,158,240.9831933
2010,2,201002,Sydney,Tamworth,Sydney - Tamworth,225,343.1722689
2010,2,201002,Sydney,Townsville,Sydney - Townsville,248,378.2521008
2010,2,201002,Sydney,Wagga Wagga,Sydney - Wagga Wagga,214,326.394958
2010,2,201002,Newcastle,Gold Coast,Newcastle - Gold Coast,110,167.7731092
2010,3,201003,Adelaide,Brisbane,Adelaide - Brisbane,238,363
2010,3,201003,Adelaide,Canberra,Adelaide - Canberra,274,417.907563
2010,3,201003,Adelaide,Darwin,Adelaide - Darwin,378,576.5294118
2010,3,201003,Adelaide,Gold Coast,Adelaide - Gold Coast,156,237.9327731
2010,3,201003,Adelaide,Melbourne,Adelaide - Melbourne,86,131.1680672
2010,3,201003,Adelaide,Perth,Adelaide - Perth,358,546.0252101
2010,3,201003,Adelaide,Port Lincoln,Adelaide - Port Lincoln,212.86,324.6562185
2010,3,201003,Adelaide,Sydney,Adelaide - Sydney,106,161.6722689
2010,3,201003,Albury,Sydney,Albury - Sydney,174,265.3865546
2010,3,201003,Alice Springs,Darwin,Alice Springs - Darwin,428,652.789916
2010,3,201003,Alice Springs,Melbourne,Alice Springs - Melbourne,226,344.697479
2010,3,201003,Alice Springs,Sydney,Alice Springs - Sydney,498,759.5546218
2010,3,201003,Avalon,Brisbane,Avalon - Brisbane,278,424.0084034
2010,3,201003,Avalon,Sydney,Avalon - Sydney,98,149.4705882
2010,3,201003,Ayers Rock,Cairns,Ayers Rock - Cairns,698,1064.596639
2010,3,201003,Ayers Rock,Sydney,Ayers Rock - Sydney,714,1089
2010,3,201003,Ballina,Sydney,Ballina - Sydney,188,286.7394958
2010,3,201003,Brisbane,Cairns,Brisbane - Cairns,258,393.5042017
2010,3,201003,Brisbane,Canberra,Brisbane - Canberra,193,294.3655462
2010,3,201003,Brisbane,Darwin,Brisbane - Darwin,274,417.907563
2010,3,201003,Brisbane,Emerald,Brisbane - Emerald,316,481.9663866
2010,3,201003,Brisbane,Gladstone,Brisbane - Gladstone,218,332.4957983
2010,3,201003,Brisbane,Hamilton Island,Brisbane - Hamilton Island,138,210.4789916
2010,3,201003,Brisbane,Hobart,Brisbane - Hobart,608,927.3277311
2010,3,201003,Brisbane,Mackay,Brisbane - Mackay,144,219.6302521
2010,3,201003,Brisbane,Melbourne,Brisbane - Melbourne,228,347.7478992
2010,3,201003,Brisbane,Mount Isa,Brisbane - Mount Isa,544,829.7142857
2010,3,201003,Brisbane,Perth,Brisbane - Perth,558,851.0672269
2010,3,201003,Brisbane,Proserpine,Brisbane - Proserpine,198,301.9915966
2010,3,201003,Brisbane,Rockhampton,Brisbane - Rockhampton,108,164.7226891
2010,3,201003,Brisbane,Sydney,Brisbane - Sydney,148,225.7310924
2010,3,201003,Brisbane,Townsville,Brisbane - Townsville,298,454.512605
2010,3,201003,Brisbane,Newcastle,Brisbane - Newcastle,78,118.9663866
2010,3,201003,Broome,Perth,Broome - Perth,304,463.6638655
2010,3,201003,Bundaberg,Brisbane,Bundaberg - Brisbane,320,488.0672269
2010,3,201003,Cairns,Melbourne,Cairns - Melbourne,358,546.0252101
2010,3,201003,Cairns,Sydney,Cairns - Sydney,338,515.5210084
2010,3,201003,Cairns,Townsville,Cairns - Townsville,158,240.9831933
2010,3,201003,Canberra,Melbourne,Canberra - Melbourne,106,161.6722689
2010,3,201003,Canberra,Sydney,Canberra - Sydney,138,210.4789916
2010,3,201003,Coffs Harbour,Sydney,Coffs Harbour - Sydney,178,271.487395
2010,3,201003,Darwin,Melbourne,Darwin - Melbourne,398,607.0336134
2010,3,201003,Darwin,Perth,Darwin - Perth,448,683.2941176
2010,3,201003,Darwin,Sydney,Darwin - Sydney,388,591.7815126
2010,3,201003,Devonport,Melbourne,Devonport - Melbourne,270,411.8067227
2010,3,201003,Dubbo,Sydney,Dubbo - Sydney,248,378.2521008
2010,3,201003,Geraldton,Perth,Geraldton - Perth,444,677.1932773
2010,3,201003,Gold Coast,Sydney,Gold Coast - Sydney,86,131.1680672
2010,3,201003,Hamilton Island,Sydney,Hamilton Island - Sydney,374,570.4285714
2010,3,201003,Hervey Bay,Sydney,Hervey Bay - Sydney,350,533.8235294
2010,3,201003,Hobart,Melbourne,Hobart - Melbourne,56,85.41176471
2010,3,201003,Hobart,Sydney,Hobart - Sydney,198,301.9915966
2010,3,201003,Kalgoorlie,Perth,Kalgoorlie - Perth,359,547.5504202
2010,3,201003,Karratha,Perth,Karratha - Perth,358,546.0252101
2010,3,201003,Launceston,Melbourne,Launceston - Melbourne,56,85.41176471
2010,3,201003,Launceston,Sydney,Launceston - Sydney,249.9,381.15
2010,3,201003,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,156,237.9327731
2010,3,201003,Sunshine Coast,Sydney,Sunshine Coast - Sydney,208,317.2436975
2010,3,201003,Melbourne,Gold Coast,Melbourne - Gold Coast,186,283.6890756
2010,3,201003,Melbourne,Mildura,Melbourne - Mildura,198,301.9915966
2010,3,201003,Melbourne,Perth,Melbourne - Perth,376,573.4789916
2010,3,201003,Melbourne,Sydney,Melbourne - Sydney,66,100.6638655
2010,3,201003,Melbourne,Newcastle,Melbourne - Newcastle,158,240.9831933
2010,3,201003,Paraburdoo,Perth,Paraburdoo - Perth,409,623.8109244
2010,3,201003,Perth,Newman,Perth - Newman,348,530.7731092
2010,3,201003,Perth,Port Hedland,Perth - Port Hedland,358,546.0252101
2010,3,201003,Perth,Sydney,Perth - Sydney,478,729.0504202
2010,3,201003,Port Macquarie,Sydney,Port Macquarie - Sydney,158,240.9831933
2010,3,201003,Sydney,Tamworth,Sydney - Tamworth,190,289.789916
2010,3,201003,Sydney,Townsville,Sydney - Townsville,228,347.7478992
2010,3,201003,Sydney,Wagga Wagga,Sydney - Wagga Wagga,214,326.394958
2010,3,201003,Newcastle,Gold Coast,Newcastle - Gold Coast,154,234.8823529
2010,4,201004,Adelaide,Brisbane,Adelaide - Brisbane,198,300.1002088
2010,4,201004,Adelaide,Canberra,Adelaide - Canberra,224,339.5073069
2010,4,201004,Adelaide,Darwin,Adelaide - Darwin,348,527.4488518
2010,4,201004,Adelaide,Gold Coast,Adelaide - Gold Coast,127,192.4885177
2010,4,201004,Adelaide,Melbourne,Adelaide - Melbourne,38,57.59498956
2010,4,201004,Adelaide,Perth,Adelaide - Perth,298,451.6659708
2010,4,201004,Adelaide,Port Lincoln,Adelaide - Port Lincoln,177.76,269.4232985
2010,4,201004,Adelaide,Sydney,Adelaide - Sydney,116,175.8162839
2010,4,201004,Albury,Sydney,Albury - Sydney,118,178.8475992
2010,4,201004,Alice Springs,Darwin,Alice Springs - Darwin,508,769.954071
2010,4,201004,Alice Springs,Melbourne,Alice Springs - Melbourne,186,281.9123173
2010,4,201004,Alice Springs,Sydney,Alice Springs - Sydney,538,815.4237996
2010,4,201004,Avalon,Brisbane,Avalon - Brisbane,198,300.1002088
2010,4,201004,Avalon,Sydney,Avalon - Sydney,78,118.2212944
